time,V_avg_machine,I_avg_machine,kW_machine,kvar_machine,kVA_machine,PF_machine,kWh_machine,kvarh_machine,kVAh_machine,V_avg_spindle,I_avg_spindle,kW_spindle,kvar_spindle,kVA_spindle,PF_spindle,kWh_spindle,kvarh_spindle,kVAh_spindle,RPM,Anomaly
2023-05-05 09:10:06,219.4530487060547,3.8146722316741934,1.1255593299865725,0.9123969078063964,1.4489140510559082,0.7768296003341675,15.133017539978027,12.799983978271484,19.822547912597656,354.0638732910156,4.389101028442383,0.0967286452651023,1.6002651453018188,1.6031858921051023,0.0603352636098861,0.2051786035299301,1.8620421886444087,1.886577844619751,3000,False
2023-05-05 09:10:07,219.6137084960937,3.8027031421661377,1.1264625787734983,0.9115955233573914,1.4491115808486938,0.7773470282554626,15.133331298828123,12.800236701965332,19.822948455810547,354.38330078125,4.3928046226501465,0.0968284755945205,1.6022638082504272,1.605186939239502,0.060322243720293,0.2052058279514312,1.862487316131592,1.887026309967041,3000,False
2023-05-05 09:10:08,219.6622314453125,3.805662155151367,1.127163290977478,0.9108794331550598,1.4492061138153076,0.7777798175811768,15.13364601135254,12.800490379333496,19.82335090637207,354.2237243652344,4.395010948181152,0.096928521990776,1.6043623685836792,1.6072876453399658,0.0603056475520134,0.2052325010299682,1.8629329204559328,1.8874759674072263,3000,False
2023-05-05 09:10:09,219.5826568603516,3.805311918258667,1.1278632879257202,0.9098424315452576,1.44909930229187,0.7783201932907104,15.133959770202637,12.800743103027344,19.8237533569336,353.9192810058594,4.395386219024658,0.0970283597707748,1.606160283088684,1.60908842086792,0.0603002049028873,0.2052597254514694,1.8633791208267207,1.8879250288009644,3000,False
2023-05-05 09:10:10,219.5826568603516,3.805311918258667,1.1278632879257202,0.9098424315452576,1.44909930229187,0.7783201932907104,15.133959770202637,12.800743103027344,19.8237533569336,353.9192810058594,4.395386219024658,0.0970283597707748,1.606160283088684,1.60908842086792,0.0603002049028873,0.2052597254514694,1.8633791208267207,1.8879250288009644,3000,False
2023-05-05 09:10:11,219.4450225830078,3.806970834732056,1.128962516784668,0.9078205823898317,1.448687195777893,0.7793003916740417,15.134586334228516,12.801247596740724,19.824556350708008,354.0496520996094,4.39475679397583,0.0971285700798034,1.6090606451034546,1.6119894981384275,0.0602538473904132,0.2053136378526687,1.8642725944519043,1.8888229131698608,3000,False
2023-05-05 09:10:12,219.4438018798828,3.807451009750366,1.1293621063232422,0.906674027442932,1.4482805728912354,0.7797951102256775,15.134900093078612,12.801499366760254,19.82495880126953,353.845703125,4.395522117614746,0.0971289575099945,1.610063076019287,1.612990140914917,0.0602167099714279,0.2053405940532684,1.8647198677062988,1.8892717361450195,3000,False
2023-05-05 09:10:13,219.4153289794922,3.805474281311035,1.12925922870636,0.9058324098587036,1.4476735591888428,0.7800509929656982,15.135213851928713,12.801751136779783,19.825359344482425,353.7630615234375,4.397648334503174,0.0971289575099945,1.6111654043197632,1.6140904426574707,0.0601756609976291,0.2053675502538681,1.8651673793792725,1.8897205591201784,3000,False
2023-05-05 09:10:14,219.500244140625,3.8106110095977774,1.129257321357727,0.9051864743232728,1.447268009185791,0.7802682518959045,15.135527610778809,12.802002906799316,19.825761795043945,354.0997619628906,4.398539066314697,0.0969289168715477,1.6120792627334597,1.6149907112121582,0.0600182488560676,0.2053942233324051,1.8656152486801147,1.890169620513916,3000,False
2023-05-05 09:10:15,219.54627990722656,3.809985399246216,1.1293561458587646,0.904415488243103,1.446863055229187,0.7805549502372742,15.135841369628906,12.802253723144531,19.82616424560547,354.32275390625,4.3966064453125,0.0970291346311569,1.6129752397537231,1.6158909797668457,0.0600468330085277,0.2054211646318435,1.8660632371902464,1.8906190395355225,3000,False
